Date,Close
2019-08-13,10895.83
2019-08-14,10051.7
2019-08-15,10311.55
2019-08-16,10374.34
2019-08-17,10231.74
2019-08-18,10345.81
2019-08-19,10916.05
2019-08-20,10763.23
2019-08-21,10138.05
2019-08-22,10131.06
2019-08-23,10407.97
2019-08-24,10159.96
2019-08-25,10138.52
2019-08-26,10370.82
2019-08-27,10185.5
2019-08-28,9754.42
2019-08-29,9510.2
2019-08-30,9598.17
2019-08-31,9630.66
2019-09-01,9757.97
2019-09-02,10346.76
2019-09-03,10623.54
2019-09-04,10594.49
2019-09-05,10575.53
2019-09-06,10353.3
2019-09-07,10517.25
2019-09-08,10441.28
2019-09-09,10334.97
2019-09-10,10115.98
2019-09-11,10178.37
2019-09-12,10410.13
2019-09-13,10360.55
2019-09-14,10358.05
2019-09-15,10347.71
2019-09-16,10276.79
2019-09-17,10241.27
2019-09-18,10198.25
2019-09-19,10266.41
